GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000131591	1	1017198	1051741	8	1	26688	-1.6659	0.95213	C1orf159
ENSG00000162571	1	1109264	1133315	1	1	26493	-0.63566	0.7375	TTLL10
ENSG00000186827	1	1146706	1149518	1	1	26376	0.56129	0.2873	TNFRSF4
ENSG00000078808	1	1152288	1167411	47	1	26691	0.46487	0.32101	SDF4
ENSG00000221978	1	1321091	1334708	4	1	26776	-1.0783	0.85955	CCNL2
ENSG00000224870	1	1334902	1337426	3	1	26822	-1.1234	0.86936	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	1	1	26797	-0.95061	0.8291	MRPL20
ENSG00000160075	1	1477053	1510249	15	1	26258	0.47919	0.3159	SSU72
ENSG00000008130	1	1682671	1711896	10	2	26721	-0.54875	0.70841	NADK
ENSG00000078369	1	1716729	1822495	43	5	26779	-0.58626	0.72115	GNB1
ENSG00000169885	1	1846266	1848735	1	1	26740	0.20983	0.4169	CALML6
ENSG00000142609	1	1853396	1935276	16	2	26733	-0.2226	0.58808	C1orf222
ENSG00000187730	1	1950780	1962192	1	1	26724	0.25905	0.3978	GABRD
ENSG00000067606	1	1981909	2116834	203	18	26669	-0.42362	0.66408	PRKCZ
ENSG00000162585	1	2115903	2144159	10	3	26563	-1.32	0.90659	C1orf86
ENSG00000157933	1	2160134	2241558	7	3	26633	-0.93145	0.82419	SKI
ENSG00000116151	1	2252692	2323146	5	2	26488	-0.24727	0.59765	MORN1
ENSG00000157916	1	2323267	2336883	1	1	26830	-1.5875	0.9438	RER1
ENSG00000157873	1	2487078	2496821	1	1	26638	1.4273	0.07675	TNFRSF14
ENSG00000157870	1	2517930	2522908	3	1	26690	-1.7207	0.95734	FAM213B
ENSG00000142606	1	2522078	2564481	58	1	26767	-0.73979	0.77029	MMEL1
ENSG00000142611	1	2985732	3355185	82	20	26642	0.27708	0.39086	PRDM16
ENSG00000130762	1	3370990	3397677	3	1	26758	0.58286	0.27999	ARHGEF16
ENSG00000162591	1	3406484	3528059	3	1	26763	-0.67982	0.75169	MEGF6
ENSG00000158109	1	3541566	3546691	3	1	26608	0.851	0.19738	TPRG1L
ENSG00000116213	1	3547331	3569325	6	1	26634	0.75744	0.22439	WRAP73
ENSG00000078900	1	3569084	3652765	4	1	26503	-0.81472	0.79238	TP73
ENSG00000162592	1	3668962	3688209	2	1	26830	1.2696	0.10212	CCDC27
ENSG00000130764	1	3696784	3713068	25	1	26748	-2.6913	0.99644	LRRC47
ENSG00000116198	1	3728645	3773778	118	6	26805	-0.3556	0.63893	CEP104
ENSG00000169598	1	3773845	3801993	24	2	26748	0.57829	0.28154	DFFB
ENSG00000198912	1	3805689	3816857	10	2	26671	0.86965	0.19224	C1orf174
ENSG00000196581	1	4714792	4852594	199	27	26605	-0.97391	0.83495	AJAP1
ENSG00000131697	1	5922871	6052533	157	5	26794	0.43521	0.33171	NPHP4
ENSG00000069424	1	6051526	6161253	36	6	26722	0.035174	0.48597	KCNAB2
ENSG00000116254	1	6161853	6240183	14	4	26598	-1.5243	0.93628	CHD5
ENSG00000116251	1	6241329	6269449	7	2	26265	0.90138	0.18369	RPL22
ENSG00000158286	1	6265535	6281359	1	1	26662	1.1825	0.1185	RNF207
ENSG00000116237	1	6281253	6296032	1	1	26830	1.5375	0.06208	ICMT
ENSG00000097021	1	6324329	6454451	47	2	26636	-0.28511	0.61222	ACOT7
ENSG00000069812	1	6472478	6484730	1	1	26795	0.46994	0.3192	HES2
ENSG00000171680	1	6526152	6580121	8	1	26540	0.20712	0.41796	PLEKHG5
ENSG00000162408	1	6581407	6614595	2	1	26615	-0.18078	0.57173	NOL9
ENSG00000173662	1	6615241	6639817	6	2	26603	0.79869	0.21224	TAS1R1
